id,section,subsection,item,sourcing,status,source_name,source_url,license,attribution,target_stub
A0001,1.1 Player & Character Sprites,general,Player idle animations (all directions),OS-Temp,pending,,,,,preproduction/assets/1-1-player-character-sprites/general/player-idle-animations-all-directions.asset-request.json
A0002,1.1 Player & Character Sprites,general,Player walk/run cycles,OS-Temp,pending,,,,,preproduction/assets/1-1-player-character-sprites/general/player-walk-run-cycles.asset-request.json
A0003,1.1 Player & Character Sprites,general,"Player interaction animations (inspect, push, pull, kneel, release)",OS-Temp,pending,,,,,preproduction/assets/1-1-player-character-sprites/general/player-interaction-animations-inspect-push-pull-kneel-release.asset-request.json
A0004,1.1 Player & Character Sprites,general,"Player emotional states (hurt, relieved, obscured)",OS-Temp,pending,,,,,preproduction/assets/1-1-player-character-sprites/general/player-emotional-states-hurt-relieved-obscured.asset-request.json
A0005,1.1 Player & Character Sprites,general,Player outfit variants by act progression,Custom,pending,,,,,preproduction/assets/1-1-player-character-sprites/general/player-outfit-variants-by-act-progression.asset-request.json
A0006,1.1 Player & Character Sprites,general,Daimon (Sophene) base sprite set,Custom,pending,,,,,preproduction/assets/1-1-player-character-sprites/general/daimon-sophene-base-sprite-set.asset-request.json
A0007,1.1 Player & Character Sprites,general,Sophene “impossible signature” VFX overlays,Custom,pending,,,,,preproduction/assets/1-1-player-character-sprites/general/sophene-impossible-signature-vfx-overlays.asset-request.json
A0008,1.1 Player & Character Sprites,general,"Elemental Guardians sprite sets (Zephyros, Pyralis, Undine, Chthonia)",Custom,pending,,,,,preproduction/assets/1-1-player-character-sprites/general/elemental-guardians-sprite-sets-zephyros-pyralis-undine-chthonia.asset-request.json
A0009,1.1 Player & Character Sprites,general,Sphere Governors sprite/portrait forms (7 total),Custom,pending,,,,,preproduction/assets/1-1-player-character-sprites/general/sphere-governors-sprite-portrait-forms-7-total.asset-request.json
A0010,1.1 Player & Character Sprites,general,Major named NPC sprite sets per act,OS-Temp -> Custom,pending,,,,,preproduction/assets/1-1-player-character-sprites/general/major-named-npc-sprite-sets-per-act.asset-request.json
A0011,1.1 Player & Character Sprites,general,Minor resident NPC archetypes (crowd variants),OS-Ship,pending,,,,,preproduction/assets/1-1-player-character-sprites/general/minor-resident-npc-archetypes-crowd-variants.asset-request.json
A0012,1.2 Enemy/Encounter Sprites (non-traditional combat entities),general,Dissonance swarm entities (abstract thought forms),OS-Temp,pending,,,,,preproduction/assets/1-2-enemy-encounter-sprites-non-traditional-combat-entities/general/dissonance-swarm-entities-abstract-thought-forms.asset-request.json
A0013,1.2 Enemy/Encounter Sprites (non-traditional combat entities),general,Resonance duel opponents (act-specific),Custom,pending,,,,,preproduction/assets/1-2-enemy-encounter-sprites-non-traditional-combat-entities/general/resonance-duel-opponents-act-specific.asset-request.json
A0014,1.2 Enemy/Encounter Sprites (non-traditional combat entities),general,"Hazard sprites (light cones, rhetorical storms, mirrored ripples)",OS-Temp -> Custom,pending,,,,,preproduction/assets/1-2-enemy-encounter-sprites-non-traditional-combat-entities/general/hazard-sprites-light-cones-rhetorical-storms-mirrored-ripples.asset-request.json
A0015,1.2 Enemy/Encounter Sprites (non-traditional combat entities),general,Encounter telegraph sprites/icons,OS-Ship,pending,,,,,preproduction/assets/1-2-enemy-encounter-sprites-non-traditional-combat-entities/general/encounter-telegraph-sprites-icons.asset-request.json
A0016,1.3 Tilesets & Environment Modules (Act by Act),general,"Metaxy hub base tileset (paths, thresholds, void edges)",OS-Temp -> Custom,pending,,,,,preproduction/assets/1-3-tilesets-environment-modules-act-by-act/general/metaxy-hub-base-tileset-paths-thresholds-void-edges.asset-request.json
A0017,1.3 Tilesets & Environment Modules (Act by Act),general,"Moon tileset pack (mirror halls, silver gardens, water floors)",OS-Temp -> Custom,pending,,,,,preproduction/assets/1-3-tilesets-environment-modules-act-by-act/general/moon-tileset-pack-mirror-halls-silver-gardens-water-floors.asset-request.json
A0018,1.3 Tilesets & Environment Modules (Act by Act),general,"Mercury tileset pack (diagram halls, notes, clockwork motifs)",OS-Temp -> Custom,pending,,,,,preproduction/assets/1-3-tilesets-environment-modules-act-by-act/general/mercury-tileset-pack-diagram-halls-notes-clockwork-motifs.asset-request.json
A0019,1.3 Tilesets & Environment Modules (Act by Act),general,"Venus tileset pack (galleries, arches, floral courtyards)",OS-Temp -> Custom,pending,,,,,preproduction/assets/1-3-tilesets-environment-modules-act-by-act/general/venus-tileset-pack-galleries-arches-floral-courtyards.asset-request.json
A0020,1.3 Tilesets & Environment Modules (Act by Act),general,"Sun tileset pack (radiant courts, testimony halls)",OS-Temp -> Custom,pending,,,,,preproduction/assets/1-3-tilesets-environment-modules-act-by-act/general/sun-tileset-pack-radiant-courts-testimony-halls.asset-request.json
