id,source_name,source_url,license,attribution
A0096,Godot Engine,https://raw.githubusercontent.com/godotengine/godot/master/README.md,MIT,Godot contributors
A0097,Godot Demo Projects,https://raw.githubusercontent.com/godotengine/godot-demo-projects/master/README.md,MIT,Godot contributors
A0102,Ink,https://raw.githubusercontent.com/inkle/ink/master/README.md,MIT,inkle Ltd
A0111,JSON Schema,https://raw.githubusercontent.com/json-schema-org/json-schema-spec/main/README.md,MIT,JSON Schema authors
A0112,Babel,https://raw.githubusercontent.com/python-babel/babel/master/README.rst,BSD-3-Clause,Python Babel contributors
A0113,Rich (CLI tooling),https://raw.githubusercontent.com/Textualize/rich/master/README.md,MIT,Textualize
A0115,GitHub Actions,https://raw.githubusercontent.com/actions/runner/main/README.md,MIT,GitHub
A0116,Jenkins,https://raw.githubusercontent.com/jenkinsci/jenkins/master/README.md,MIT,Jenkins contributors
A0117,Pytest,https://raw.githubusercontent.com/pytest-dev/pytest/main/README.rst,MIT,pytest-dev
A0118,OpenTelemetry,https://raw.githubusercontent.com/open-telemetry/opentelemetry-specification/main/README.md,Apache-2.0,OpenTelemetry Authors
A0119,Pixelmatch,https://raw.githubusercontent.com/mapbox/pixelmatch/main/README.md,ISC,Mapbox
A0120,Sentry,https://raw.githubusercontent.com/getsentry/sentry/master/README.md,BSD-3-Clause,Sentry contributors
